unit	class	families	line
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	mahendrādyāḥ sabhāḥ puṇyā mānasottaramūrddhani
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	nāgavīthyajavīthyośca lakṣaṇaṃ parikīrttyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	kāṣṭhayorlekhayoścaiva maṇḍalānāñca yojanaiḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	lokapālāḥ sthitāścorddhvaṃ kīrttyante ye caturdiśam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pitrūṇāṃ devatānāṃ ca panthānau dakṣiṇottarau
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	gṛhiṇāṃ nyāsināñcoktau rajaḥsattvasamāśrayāt
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	kīrttyate ca padaṃ viṣṇordharmādyā yatra dhiṣṭitāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,mahabharata,padmapurana,vayu	sūryācandramasoścāro grahāṇāṃ jyotiṣāṃ tathā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	kīrttyate dhruvasāmarthyāt prajānāṃ ca śubhāśubham
vayupurana_01_frame-and-cosmogony_iast	vayubd	vayu	sa ratho'dhiṣṭito devairādityaiḥ ṛṣibhistathā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,kurmapurana,lingapurana,vayu	gandharvairapsarobhiśca grāmaṇīsarparākṣasaiḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	apāṃ sāramayasyendoḥ kīrtyate ca rathastathā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	sūryādīnāṃ syandanānāṃ dhruvādeva prakīrttanam
