unit	kind	x	y	pct	words
vayupurana_07_shraddha-kalpa_iast	resid	0.194701	0.292681	81.0	907
vayupurana_07_shraddha-kalpa_iast	ppl	-0.099242	0.319130	30.2	528
vayupurana_07_shraddha-kalpa_iast	vayubd	0.239284	0.227648	85.7	8229
vayupurana_07_shraddha-kalpa_iast	other	0.029630	0.433001	48.4	208
vayupurana_08_manu-candra-vishnu-vamsha_iast	resid	-0.142377	0.369283	27.8	1064
vayupurana_08_manu-candra-vishnu-vamsha_iast	ppl	-0.233288	0.328477	21.4	14593
vayupurana_08_manu-candra-vishnu-vamsha_iast	vayubd	-0.055785	0.450440	35.7	4315
vayupurana_08_manu-candra-vishnu-vamsha_iast	other	-0.130254	0.466601	27.8	544
vayupurana_09_upasamhara_iast	resid	0.172916	0.219217	72.2	1575
vayupurana_09_upasamhara_iast	ppl	0.148801	0.790656	65.9	1470
vayupurana_09_upasamhara_iast	vayubd	0.197579	0.457932	81.0	5718
vayupurana_09_upasamhara_iast	other	0.075404	0.151768	54.8	249
vayupurana_10_gaya-mahatmya_iast	resid	0.188008	-0.084141	78.6	4794
vayupurana_10_gaya-mahatmya_iast	ppl	0.065153	0.232144	54.8	13
vayupurana_10_gaya-mahatmya_iast	vayubd	0.155042	0.229015	65.9	173
vayupurana_10_gaya-mahatmya_iast	other	0.222997	0.003561	84.9	1542
vayupurana_revakhanda	resid	0.108025	-0.172975	61.1	48016
vayupurana_revakhanda	ppl	0.129055	0.391821	62.7	596
vayupurana_revakhanda	vayubd	0.157851	0.148618	66.7	1143
vayupurana_revakhanda	other	0.150133	-0.195686	65.9	27074
brahmandapurana_khanda-1_u	resid	0.126738	0.377631	62.7	4591
brahmandapurana_khanda-1_u	ppl	0.079887	0.615908	57.9	10475
brahmandapurana_khanda-1_u	vayubd	0.150900	0.434953	65.9	21239
brahmandapurana_khanda-1_u	other	0.140217	0.360968	65.9	2923
brahmandapurana_khanda-2_u	resid	-0.095818	-0.104754	30.2	24066
brahmandapurana_khanda-2_u	ppl	-0.196359	0.372855	23.0	16031
brahmandapurana_khanda-2_u	vayubd	0.113911	0.309219	61.9	16566
brahmandapurana_khanda-2_u	other	-0.167510	0.005998	26.2	2838
brahmandapurana_khanda-3_u	resid	0.118396	-0.001324	61.9	34311
brahmandapurana_khanda-3_u	ppl	0.113139	0.768158	61.9	1446
brahmandapurana_khanda-3_u	vayubd	0.199394	0.429996	81.0	5537
brahmandapurana_khanda-3_u	other	0.154649	0.096239	65.9	2353
visnupurana_amsa-1_u	resid	-0.023849	-0.094893	40.5	6305
visnupurana_amsa-1_u	ppl	0.129838	0.405538	62.7	3970
visnupurana_amsa-1_u	vayubd	-0.175943	0.290549	26.2	301
visnupurana_amsa-1_u	other	0.032171	0.009393	48.4	2372
visnupurana_amsa-2_u	resid	0.165271	0.069400	69.0	1658
visnupurana_amsa-2_u	ppl	0.036988	0.235826	50.0	65
visnupurana_amsa-2_u	vayubd	0.158809	0.465623	66.7	1129
visnupurana_amsa-2_u	other	0.160467	0.032049	67.5	4401
visnupurana_amsa-3_u	resid	0.211692	-0.063069	81.7	4767
visnupurana_amsa-3_u	ppl	0.162854	0.547278	67.5	879
visnupurana_amsa-3_u	vayubd	0.039419	0.308349	50.0	446
visnupurana_amsa-3_u	other	0.287620	-0.058274	88.1	1874
visnupurana_amsa-4_u	resid	-0.016749	0.090548	42.1	8931
visnupurana_amsa-4_u	ppl	-0.013708	0.260422	42.1	225
visnupurana_amsa-4_u	vayubd	-0.036223	0.290330	38.9	131
visnupurana_amsa-4_u	other	-0.001823	0.180045	45.2	353
visnupurana_amsa-5_u	resid	-0.025847	-0.103997	40.5	2817
visnupurana_amsa-5_u	ppl	0.040099	0.251163	50.0	67
visnupurana_amsa-5_u	vayubd	-0.139482	0.056197	27.8	112
visnupurana_amsa-5_u	other	-0.177938	-0.145165	26.2	11400
visnupurana_amsa-6_u	resid	0.159917	-0.078174	66.7	961
visnupurana_amsa-6_u	ppl	0.119496	0.187291	61.9	48
visnupurana_amsa-6_u	vayubd	0.017530	0.245812	46.8	302
visnupurana_amsa-6_u	other	0.186827	-0.137722	78.6	3351
