unit	code	with_est	with_lo	with_hi	noreuse_est	noreuse_lo	noreuse_hi	shift	residue_words	ci_separated
mahabharata_16-mausalaparvan	MBh16	3.2	0.8	10.3	20.0	18.4	32.0	16.8	2698	True
vayupurana_04_bhuvana-vinyasa_iast	V4	69.0	65.1	77.8	86.4	88.8	90.4	17.400000000000006	5062	True
harivamsa_appendix-41	HA41	43.7	38.1	50.0	62.4	61.6	67.2	18.699999999999996	6262	True
vayupurana_01_frame-and-cosmogony_iast	V1	77.8	66.7	84.9	96.8	95.2	100.0	19.0	983	True
visnupurana_amsa-6_u	Vi6	73.8	63.5	84.9	92.8	90.4	99.2	19.0	945	True
mahabharata_18-svargarohanaparvan	MBh18	4.8	1.6	15.9	25.6	27.6	42.8	20.8	1708	True
visnupurana_amsa-2_u	Vi2	67.5	63.9	81.0	89.6	90.4	96.0	22.099999999999994	1642	True
mahabharata_17-mahaprasthanikaparvan	MBh17	0.0	0.0	3.2	22.4	23.2	44.0	22.4	1004	True
vayupurana_05_jyotis-and-purvardha-close_iast	V5	70.6	65.9	81.7	100.0	99.2	100.0	29.400000000000006	648	True
vayupurana_06_prthu-and-prajapati-lineages_iast	V6	46.8	42.1	52.8	82.4	84.8	91.2	35.60000000000001	1421	True
visnupurana_amsa-5_u	Vi5	27.0	22.2	27.8	63.2	64.0	76.0	36.2	2796	True
vayupurana_08_manu-candra-vishnu-vamsha_iast	V8	22.2	21.4	27.8	76.8	76.4	88.8	54.599999999999994	1064	True
