trigram	abs_rho_x	junction_share	final_share	particle_share	pronoun_share	verb_narrative_share	verb_prescriptive_share	numeral_list_share	content_share
daṃ	0.2038	0.001	0.817	0.000	0.000	0.000	0.001	0.018	0.981
ipr	0.2036	0.293	0.000	0.001	0.000	0.007	0.007	0.008	0.977
maṇ	0.2029	0.002	0.000	0.000	0.000	0.001	0.002	0.008	0.989
rai	0.2012	0.042	0.009	0.039	0.000	0.001	0.001	0.020	0.939
yas	0.2006	0.297	0.039	0.005	0.088	0.001	0.014	0.010	0.883
viś	0.1986	0.005	0.001	0.018	0.000	0.001	0.011	0.010	0.959
śca	0.1985	0.495	0.330	0.448	0.000	0.002	0.003	0.019	0.529
nān	0.1983	0.055	0.075	0.004	0.000	0.001	0.005	0.012	0.978
kṣi	0.1978	0.000	0.015	0.000	0.000	0.006	0.015	0.006	0.973
rap	0.1976	0.219	0.000	0.106	0.000	0.005	0.021	0.024	0.844
ṃca	0.1962	0.942	0.005	0.717	0.000	0.015	0.007	0.018	0.242
hit	0.1937	0.046	0.000	0.031	0.000	0.036	0.001	0.006	0.927
adv	0.1916	0.294	0.000	0.000	0.073	0.001	0.003	0.166	0.757
asā	0.1916	0.177	0.255	0.027	0.000	0.002	0.004	0.015	0.953
āṇi	0.1911	0.001	0.677	0.000	0.000	0.000	0.002	0.029	0.968
āsa	0.1898	0.303	0.129	0.038	0.030	0.054	0.005	0.014	0.860
ḥpu	0.1898	0.947	0.000	0.224	0.000	0.001	0.003	0.003	0.770
nya	0.1896	0.119	0.017	0.031	0.006	0.002	0.030	0.010	0.921
vat	0.1893	0.098	0.108	0.071	0.011	0.006	0.002	0.015	0.894
aiḥ	0.1872	0.000	0.985	0.010	0.021	0.000	0.000	0.035	0.934
una	0.1867	0.094	0.006	0.384	0.004	0.004	0.002	0.006	0.600
dān	0.1865	0.064	0.046	0.045	0.000	0.001	0.002	0.015	0.937
aṃś	0.1848	0.680	0.016	0.016	0.020	0.001	0.003	0.017	0.943
ham	0.1840	0.085	0.481	0.034	0.039	0.010	0.004	0.014	0.899
ṃya	0.1812	0.927	0.001	0.205	0.144	0.044	0.014	0.002	0.591
ṃpa	0.1809	0.889	0.000	0.005	0.000	0.001	0.015	0.038	0.940
ada	0.1801	0.174	0.065	0.002	0.026	0.032	0.005	0.026	0.908
āta	0.1784	0.293	0.073	0.097	0.073	0.004	0.005	0.009	0.813
āḥs	0.1746	0.978	0.000	0.000	0.036	0.000	0.000	0.030	0.933
aca	0.1741	0.610	0.020	0.487	0.000	0.008	0.001	0.025	0.479
tad	0.1735	0.024	0.037	0.275	0.112	0.002	0.002	0.025	0.584
akā	0.1729	0.168	0.037	0.000	0.005	0.036	0.010	0.029	0.920
āśa	0.1724	0.205	0.008	0.001	0.000	0.002	0.009	0.021	0.967
arv	0.1723	0.003	0.000	0.025	0.000	0.001	0.002	0.003	0.969
iti	0.1721	0.032	0.214	0.504	0.000	0.001	0.001	0.005	0.488
ray	0.1718	0.057	0.000	0.028	0.000	0.022	0.054	0.011	0.884
hya	0.1700	0.055	0.129	0.000	0.002	0.001	0.007	0.015	0.975
sam	0.1698	0.040	0.029	0.013	0.030	0.004	0.023	0.007	0.923
cam	0.1696	0.726	0.016	0.543	0.000	0.014	0.002	0.072	0.369
ann	0.1695	0.103	0.106	0.000	0.000	0.003	0.005	0.008	0.984
ṃta	0.1665	0.869	0.005	0.260	0.190	0.003	0.004	0.002	0.542
apr	0.1656	0.430	0.000	0.003	0.000	0.007	0.008	0.014	0.969
vam	0.1630	0.170	0.382	0.064	0.065	0.012	0.005	0.031	0.824
yaṃ	0.1628	0.000	0.926	0.042	0.013	0.000	0.000	0.011	0.933
yān	0.1627	0.114	0.123	0.000	0.025	0.001	0.003	0.011	0.959
arm	0.1624	0.004	0.000	0.000	0.000	0.001	0.002	0.006	0.991
asy	0.1623	0.011	0.004	0.000	0.179	0.000	0.003	0.013	0.806
trā	0.1617	0.000	0.130	0.001	0.000	0.002	0.003	0.022	0.972
tat	0.1608	0.012	0.012	0.320	0.038	0.002	0.002	0.008	0.630
par	0.1600	0.002	0.000	0.013	0.000	0.000	0.009	0.011	0.966
kṛt	0.1596	0.000	0.026	0.160	0.000	0.010	0.002	0.007	0.821
tri	0.1579	0.000	0.007	0.000	0.000	0.001	0.002	0.478	0.519
ani	0.1559	0.338	0.083	0.014	0.000	0.000	0.010	0.009	0.966
ant	0.1553	0.001	0.000	0.006	0.000	0.001	0.002	0.009	0.982
āṃt	0.1534	0.804	0.000	0.000	0.060	0.001	0.001	0.025	0.914
haṃ	0.1534	0.000	0.924	0.000	0.000	0.000	0.000	0.016	0.983
aḥś	0.1533	0.954	0.000	0.033	0.041	0.000	0.000	0.020	0.905
cak	0.1522	0.370	0.000	0.267	0.000	0.075	0.002	0.020	0.637
āḥp	0.1520	0.982	0.000	0.000	0.040	0.000	0.000	0.030	0.930
āvi	0.1490	0.508	0.004	0.008	0.000	0.002	0.006	0.007	0.976
mas	0.1489	0.210	0.042	0.009	0.037	0.018	0.002	0.012	0.922
ala	0.1481	0.048	0.011	0.001	0.000	0.001	0.005	0.013	0.981
ḥka	0.1476	0.960	0.000	0.022	0.023	0.001	0.002	0.003	0.949
ukh	0.1473	0.015	0.000	0.002	0.000	0.001	0.003	0.024	0.971
aṃd	0.1472	0.824	0.000	0.018	0.049	0.000	0.001	0.019	0.913
raś	0.1458	0.107	0.098	0.041	0.000	0.004	0.003	0.091	0.862
riy	0.1429	0.008	0.000	0.000	0.000	0.001	0.003	0.014	0.982
ṇāṃ	0.1427	0.000	0.905	0.000	0.000	0.000	0.000	0.019	0.981
haḥ	0.1411	0.000	0.973	0.006	0.000	0.000	0.000	0.024	0.970
aga	0.1400	0.179	0.007	0.012	0.000	0.002	0.001	0.014	0.971
rad	0.1392	0.084	0.006	0.042	0.000	0.004	0.009	0.018	0.927
āna	0.1381	0.149	0.024	0.042	0.009	0.002	0.004	0.013	0.930
yap	0.1381	0.568	0.000	0.030	0.061	0.000	0.002	0.011	0.896
dhā	0.1379	0.000	0.135	0.003	0.000	0.001	0.006	0.051	0.939
saṃ	0.1373	0.000	0.096	0.000	0.000	0.001	0.007	0.011	0.980
āpr	0.1370	0.653	0.000	0.002	0.000	0.030	0.006	0.004	0.957
yat	0.1361	0.108	0.041	0.145	0.032	0.001	0.001	0.005	0.816
ubh	0.1353	0.141	0.000	0.001	0.003	0.003	0.004	0.005	0.984
aiv	0.1349	0.084	0.000	0.419	0.002	0.000	0.002	0.015	0.562
kra	0.1328	0.000	0.044	0.000	0.000	0.001	0.005	0.107	0.886
nta	0.1275	0.002	0.076	0.009	0.001	0.004	0.007	0.013	0.967
ena	0.1263	0.088	0.715	0.043	0.137	0.000	0.001	0.016	0.803
āpi	0.1254	0.063	0.687	0.338	0.000	0.000	0.002	0.009	0.650
ndh	0.1252	0.057	0.000	0.000	0.000	0.002	0.004	0.016	0.978
rvā	0.1246	0.061	0.101	0.017	0.000	0.002	0.004	0.011	0.967
bhū	0.1245	0.000	0.001	0.000	0.000	0.089	0.003	0.012	0.896
