feature	class	rho_x
jātaḥ	content	-0.1832
bhūyas	content	-0.1811
pūrvam	content	-0.1799
abhūt	content	-0.1788
iha	particle	-0.1769
nāradaḥ	content	-0.1749
padma	content	-0.1691
ratna	content	-0.1653
hema	content	-0.1634
brūhi	content	-0.1607
nā	content	-0.1570
ātmā	content	-0.1557
mātā	content	-0.1503
śata	numeral_list	-0.1493
uvāca	verb_narrative	-0.1492
ekaḥ	numeral_list	-0.1470
tasya	pronoun	-0.1430
āha	verb_narrative	-0.1417
loke	content	-0.1403
tyaktvā	verb_narrative	-0.1397
daitya	content	-0.1396
yena	pronoun	-0.1381
ātmanaḥ	content	-0.1378
jaya	content	-0.1362
etat	pronoun	-0.1333
ati	particle	-0.1319
saḥ	pronoun	-0.1272
tapasā	content	-0.1198
taiḥ	pronoun	-0.1191
satatam	content	-0.1186
