feature	rho_x
āhuḥ	0.1369
devāḥ	0.1401
kāraṇam	0.1434
nṛṇām	0.1457
sam	0.1463
īśvara	0.1478
daḥ	0.1479
yasmāt	0.1482
mune	0.1507
yāvat	0.1534
mantra	0.1553
yadā	0.1579
annam	0.1609
rūpam	0.1661
prāṇa	0.1700
iti	0.1743
yāti	0.1808
kecid	0.1814
dvija	0.1825
bhū	0.1845
viśeṣataḥ	0.1849
mayam	0.1850
tīrtham	0.1862
devatāḥ	0.1905
janma	0.1910
vai	0.1932
śubham	0.1945
dāna	0.1948
loka	0.1963
deva	0.1969
yatas	0.1981
tvāt	0.1990
īśa	0.2004
muni	0.2058
sūtaḥ	0.2109
syāt	0.2118
ṛṣayaḥ	0.2181
sat	0.2184
dānam	0.2246
yajña	0.2257
jagat	0.2266
devī	0.2272
bhavati	0.2298
bhūta	0.2324
śrī	0.2328
yaḥ	0.2345
vāyuḥ	0.2346
pañca	0.2364
ātma	0.2393
agni	0.2419
samyak	0.2419
devam	0.2428
eva	0.2451
ekam	0.2468
yoga	0.2468
dvijāḥ	0.2543
saṃśayaḥ	0.2557
dvādaśa	0.2564
dam	0.2587
dadyāt	0.2593
tu	0.2609
devānām	0.2611
viṣṇoḥ	0.2652
paramam	0.2658
sva	0.2663
snātvā	0.2663
nava	0.2674
vā	0.2678
puṇyam	0.2699
sthānam	0.2728
bhaktyā	0.2751
māyā	0.2752
tīrtha	0.2794
sūrya	0.2809
phalam	0.2823
śivam	0.2825
naraḥ	0.2829
pāpa	0.2896
tā	0.2900
padam	0.2901
guṇa	0.2931
ante	0.2934
sarvadā	0.2970
nityam	0.2991
ye	0.3032
om	0.3038
tasmāt	0.3039
śivaḥ	0.3057
varṇa	0.3099
kuryāt	0.3127
pūjā	0.3235
sapta	0.3241
artha	0.3290
param	0.3308
viṣṇuḥ	0.3362
yā	0.3399
liṅgam	0.3404
ādayaḥ	0.3432
ādyāḥ	0.3436
rūpa	0.3482
brahmaṇaḥ	0.3489
ṣaṣ	0.3549
atas	0.3576
devaḥ	0.3600
tathā	0.3625
pāda	0.3646
vidyā	0.3674
aṣṭa	0.3679
viśva	0.3681
sarva	0.3692
ādyaiḥ	0.3743
phala	0.3764
koṭi	0.3794
uktam	0.3805
veda	0.3855
pūrva	0.3920
ādibhiḥ	0.3980
catur	0.3981
pūjayet	0.4007
rudra	0.4125
smṛtāḥ	0.4204
tri	0.4243
sadā	0.4296
snānam	0.4298
ādikam	0.4370
jāyate	0.4621
proktam	0.4658
paraḥ	0.4675
tad	0.4697
smṛtaḥ	0.4706
viṣṇu	0.4728
ādau	0.4774
eka	0.4810
bhavet	0.4834
śiva	0.4883
jñānam	0.4911
ucyate	0.5043
brahmā	0.5228
smṛtam	0.5265
namaḥ	0.5316
kramāt	0.5333
jñāna	0.5416
brahma	0.6268
ādi	0.6399
